user_id,name,email,age,gender,street,city,zipcode,plan,start_date,active
3947f065-48df-4a29-be58-5d061f9c06dc,Joseph Williams,jeremymurphy@hotmail.com,64,non-binary,22965 Cindy Road,Christinaberg,71854,Pro,2024-12-30,True
93c284b0-6e30-498e-b58b-c14ee9c22507,Charles Snyder,smiranda@hotmail.com,35,male,37994 Mendez Knolls Apt. 224,East Brandonton,60366,Basic,2023-04-21,False
a83aa60b-2359-4f56-b7bb-88b1713d5114,Michele Bell,edwardnavarro@cooper-miles.com,30,male,6107 Collins Ford,Lake Amandatown,47261,Music,2024-07-14,True
a83aa60b-2359-4f56-b7bb-88b1713d5114,Michele Bell,edwardnavarro@cooper-miles.com,30,male,6107 Collins Ford,Lake Amandatown,47261,Creator,2025-04-29,True
a83aa60b-2359-4f56-b7bb-88b1713d5114,Michele Bell,edwardnavarro@cooper-miles.com,30,male,6107 Collins Ford,Lake Amandatown,47261,Creator,2024-10-30,False
41a34688-e8c5-4771-8f9f-c5e592b19ec5,Michael Dunn,samantha97@gmail.com,28,female,55608 James Key,South Sergio,68861,Basic,2024-07-23,True
0295677f-6daa-489b-bded-9da3a93b331c,Michael Sims,jason12@gmail.com,51,female,109 Susan Vista Suite 960,Howardborough,01791,Music,2023-07-06,True
0295677f-6daa-489b-bded-9da3a93b331c,Michael Sims,jason12@gmail.com,51,female,109 Susan Vista Suite 960,Howardborough,01791,Creator,2024-01-25,False
a87fc7d0-7f05-45ce-b1ff-e8601b7784a3,Tyrone Nguyen,flopez@yahoo.com,36,non-binary,95911 Johnson Trafficway,Lake Joanmouth,25214,Pro,2024-03-27,True
a87fc7d0-7f05-45ce-b1ff-e8601b7784a3,Tyrone Nguyen,flopez@yahoo.com,36,non-binary,95911 Johnson Trafficway,Lake Joanmouth,25214,Creator,2023-11-10,True
bc1b60d7-9d8f-4697-82df-4efe5719edfa,Richard Scott,zliu@reed-long.biz,40,non-binary,871 Angela Radial,Travisview,99406,Music,2022-12-02,False
bc1b60d7-9d8f-4697-82df-4efe5719edfa,Richard Scott,zliu@reed-long.biz,40,non-binary,871 Angela Radial,Travisview,99406,Basic,2023-01-01,True
bc1b60d7-9d8f-4697-82df-4efe5719edfa,Richard Scott,zliu@reed-long.biz,40,non-binary,871 Angela Radial,Travisview,99406,Pro,2024-05-26,True
ec97e26f-6a6f-4e29-96e8-40f6336d588c,Stephanie Wolfe,qbenton@santos.net,31,non-binary,283 Alice Cape Suite 335,Johnsonhaven,85368,Basic,2024-07-03,False
ec97e26f-6a6f-4e29-96e8-40f6336d588c,Stephanie Wolfe,qbenton@santos.net,31,non-binary,283 Alice Cape Suite 335,Johnsonhaven,85368,Basic,2023-04-28,True
ec97e26f-6a6f-4e29-96e8-40f6336d588c,Stephanie Wolfe,qbenton@santos.net,31,non-binary,283 Alice Cape Suite 335,Johnsonhaven,85368,Basic,2023-05-12,False
4d7fc430-9799-4add-a72a-c12ebb7b8b73,Jason Brewer,psmith@yahoo.com,34,male,770 Kim Branch Apt. 663,Port Elizabeth,94256,Creator,2024-03-17,False
4d7fc430-9799-4add-a72a-c12ebb7b8b73,Jason Brewer,psmith@yahoo.com,34,male,770 Kim Branch Apt. 663,Port Elizabeth,94256,Pro,2024-04-02,True
1b1bc004-9823-49fc-a361-dc0d97cf4764,Susan Wilkins,thomasramos@thomas-johnson.com,39,female,08312 Diane Parks,South Laurabury,59074,Creator,2023-06-05,True
6a476342-659d-4b17-8057-0847c76dc085,Ricardo Freeman,acostasusan@bowman-schmidt.com,25,female,99364 Maldonado Springs,Roymouth,36897,Basic,2023-04-13,False
6a476342-659d-4b17-8057-0847c76dc085,Ricardo Freeman,acostasusan@bowman-schmidt.com,25,female,99364 Maldonado Springs,Roymouth,36897,Creator,2024-03-12,False
1099215a-f9a9-4e4e-970a-c2e6620baa44,Sean Schneider,michelle03@torres.net,56,male,172 Jennifer Squares Suite 809,East David,36203,Creator,2023-08-06,True
df596dbc-4e72-4e6d-8d56-243f995e3fad,Jessica Hawkins,gatespatricia@graham-jones.info,52,male,957 Steele Freeway Suite 736,Martinezshire,86186,Basic,2022-11-24,True
df596dbc-4e72-4e6d-8d56-243f995e3fad,Jessica Hawkins,gatespatricia@graham-jones.info,52,male,957 Steele Freeway Suite 736,Martinezshire,86186,Music,2024-07-07,True
df596dbc-4e72-4e6d-8d56-243f995e3fad,Jessica Hawkins,gatespatricia@graham-jones.info,52,male,957 Steele Freeway Suite 736,Martinezshire,86186,Music,2024-12-09,False
685a3dc0-b41a-451b-87e5-96fb866d4f84,Jennifer Martin,nchambers@jackson-peterson.com,50,male,52145 James Fort,New Katelynborough,44082,Basic,2024-01-23,False
6521ac71-c000-4713-b2f0-2a0e998cdd80,Stanley Galloway,jgonzales@reyes-wilson.net,33,female,725 Rebekah Centers,East John,98442,Basic,2024-11-29,False
76f76d5a-fb9c-4428-aae7-bf3d016cb151,Carolyn Farmer,lcannon@kim.org,56,female,3584 Perez Tunnel Apt. 249,West Savannahberg,67315,Music,2024-05-05,True
76f76d5a-fb9c-4428-aae7-bf3d016cb151,Carolyn Farmer,lcannon@kim.org,56,female,3584 Perez Tunnel Apt. 249,West Savannahberg,67315,Pro,2023-11-11,False
df99a711-e780-47b4-9fe4-64411f4c1b08,Sandra Rice,josephjohnson@hotmail.com,64,non-binary,50212 Roberto Causeway Suite 740,Smithland,75052,Pro,2024-01-22,False
df99a711-e780-47b4-9fe4-64411f4c1b08,Sandra Rice,josephjohnson@hotmail.com,64,non-binary,50212 Roberto Causeway Suite 740,Smithland,75052,Music,2023-01-28,False
8351619f-97b2-4469-8c54-f15cd02822e7,Joseph Obrien,allisonmaynard@miller-peterson.info,22,non-binary,37997 Graham Isle Suite 449,Stevenfurt,60743,Creator,2023-03-11,True
8351619f-97b2-4469-8c54-f15cd02822e7,Joseph Obrien,allisonmaynard@miller-peterson.info,22,non-binary,37997 Graham Isle Suite 449,Stevenfurt,60743,Creator,2025-07-05,True
7a73fbc9-afed-49b9-898b-285e920d1fea,Melissa Reese,lpowers@haynes.net,26,non-binary,71219 Hall Corner Apt. 943,Rodriguezshire,50930,Pro,2023-06-12,False
3ce414d3-b551-4058-ab24-d36b32b695a3,Kimberly Miller,kirbyscott@oconnor.info,39,male,22425 Weeks Throughway,Cassandrafort,15283,Basic,2025-06-16,False
43429db6-17d9-4c17-94bb-80a996826322,Kathleen Patterson,zwarren@wright-brown.biz,50,female,9181 Cox Greens Apt. 968,Jamesville,17973,Pro,2023-10-16,True
43429db6-17d9-4c17-94bb-80a996826322,Kathleen Patterson,zwarren@wright-brown.biz,50,female,9181 Cox Greens Apt. 968,Jamesville,17973,Basic,2024-01-04,True
43429db6-17d9-4c17-94bb-80a996826322,Kathleen Patterson,zwarren@wright-brown.biz,50,female,9181 Cox Greens Apt. 968,Jamesville,17973,Music,2024-08-27,True
2a6e5ada-a1d5-42a3-bddc-9932576729d3,Nichole Perez,bradley00@lopez.com,28,non-binary,781 Fuller Pass Apt. 770,Whiteville,43766,Music,2024-04-21,False
34d177b2-b466-4800-9892-f7932bc2fb59,Paul Holmes,joshua59@gmail.com,44,female,5136 Casey Ridges Suite 788,Port Kevin,78181,Basic,2024-09-03,False
34d177b2-b466-4800-9892-f7932bc2fb59,Paul Holmes,joshua59@gmail.com,44,female,5136 Casey Ridges Suite 788,Port Kevin,78181,Music,2025-03-10,False
34d177b2-b466-4800-9892-f7932bc2fb59,Paul Holmes,joshua59@gmail.com,44,female,5136 Casey Ridges Suite 788,Port Kevin,78181,Basic,2023-07-03,False
debf4287-18f5-4a81-8b19-fb0e57f0abf3,Denise Gonzalez,ericwalsh@banks.com,44,female,7052 Ronnie Avenue,Leonshire,44086,Music,2024-09-08,True
debf4287-18f5-4a81-8b19-fb0e57f0abf3,Denise Gonzalez,ericwalsh@banks.com,44,female,7052 Ronnie Avenue,Leonshire,44086,Pro,2023-06-15,False
a0bed6dd-524d-4857-91c5-3e50274de2ee,Sylvia Aguilar,dthomas@gmail.com,30,male,704 Kathleen Forest Suite 364,Port Mariaside,98009,Basic,2023-01-31,False
8a68d16d-5e0a-45bd-848b-5ec1d8a63692,Michael Jones,adkinsfrancisco@gmail.com,29,female,860 Sanchez Fort Apt. 294,Michellestad,85328,Creator,2023-08-21,False
ad25cc63-de44-48fe-8fe6-34010939e310,Donna Mccoy,hrobertson@gmail.com,33,female,504 Sherry Wall,East Jacobstad,69992,Basic,2024-04-30,False
ad25cc63-de44-48fe-8fe6-34010939e310,Donna Mccoy,hrobertson@gmail.com,33,female,504 Sherry Wall,East Jacobstad,69992,Pro,2024-10-08,False
2cf68eaf-e5ac-430b-bf50-fe424f5dd121,Sarah Ryan,rayweber@yahoo.com,27,non-binary,222 Savage Island Suite 822,East Stephen,21835,Music,2023-05-12,True
