user_id,name,email,profile,subscriptions
3947f065-48df-4a29-be58-5d061f9c06dc,Joseph Williams,jeremymurphy@hotmail.com,"{'age': 64, 'gender': 'non-binary', 'address': {'street': '22965 Cindy Road', 'city': 'Christinaberg', 'zipcode': '71854'}}","[{'plan': 'Pro', 'start_date': '2024-12-30', 'active': True}]"
93c284b0-6e30-498e-b58b-c14ee9c22507,Charles Snyder,smiranda@hotmail.com,"{'age': 35, 'gender': 'male', 'address': {'street': '37994 Mendez Knolls Apt. 224', 'city': 'East Brandonton', 'zipcode': '60366'}}","[{'plan': 'Basic', 'start_date': '2023-04-21', 'active': False}]"
a83aa60b-2359-4f56-b7bb-88b1713d5114,Michele Bell,edwardnavarro@cooper-miles.com,"{'age': 30, 'gender': 'male', 'address': {'street': '6107 Collins Ford', 'city': 'Lake Amandatown', 'zipcode': '47261'}}","[{'plan': 'Music', 'start_date': '2024-07-14', 'active': True}, {'plan': 'Creator', 'start_date': '2025-04-29', 'active': True}, {'plan': 'Creator', 'start_date': '2024-10-30', 'active': False}]"
41a34688-e8c5-4771-8f9f-c5e592b19ec5,Michael Dunn,samantha97@gmail.com,"{'age': 28, 'gender': 'female', 'address': {'street': '55608 James Key', 'city': 'South Sergio', 'zipcode': '68861'}}","[{'plan': 'Basic', 'start_date': '2024-07-23', 'active': True}]"
0295677f-6daa-489b-bded-9da3a93b331c,Michael Sims,jason12@gmail.com,"{'age': 51, 'gender': 'female', 'address': {'street': '109 Susan Vista Suite 960', 'city': 'Howardborough', 'zipcode': '01791'}}","[{'plan': 'Music', 'start_date': '2023-07-06', 'active': True}, {'plan': 'Creator', 'start_date': '2024-01-25', 'active': False}]"
a87fc7d0-7f05-45ce-b1ff-e8601b7784a3,Tyrone Nguyen,flopez@yahoo.com,"{'age': 36, 'gender': 'non-binary', 'address': {'street': '95911 Johnson Trafficway', 'city': 'Lake Joanmouth', 'zipcode': '25214'}}","[{'plan': 'Pro', 'start_date': '2024-03-27', 'active': True}, {'plan': 'Creator', 'start_date': '2023-11-10', 'active': True}]"
bc1b60d7-9d8f-4697-82df-4efe5719edfa,Richard Scott,zliu@reed-long.biz,"{'age': 40, 'gender': 'non-binary', 'address': {'street': '871 Angela Radial', 'city': 'Travisview', 'zipcode': '99406'}}","[{'plan': 'Music', 'start_date': '2022-12-02', 'active': False}, {'plan': 'Basic', 'start_date': '2023-01-01', 'active': True}, {'plan': 'Pro', 'start_date': '2024-05-26', 'active': True}]"
ec97e26f-6a6f-4e29-96e8-40f6336d588c,Stephanie Wolfe,qbenton@santos.net,"{'age': 31, 'gender': 'non-binary', 'address': {'street': '283 Alice Cape Suite 335', 'city': 'Johnsonhaven', 'zipcode': '85368'}}","[{'plan': 'Basic', 'start_date': '2024-07-03', 'active': False}, {'plan': 'Basic', 'start_date': '2023-04-28', 'active': True}, {'plan': 'Basic', 'start_date': '2023-05-12', 'active': False}]"
4d7fc430-9799-4add-a72a-c12ebb7b8b73,Jason Brewer,psmith@yahoo.com,"{'age': 34, 'gender': 'male', 'address': {'street': '770 Kim Branch Apt. 663', 'city': 'Port Elizabeth', 'zipcode': '94256'}}","[{'plan': 'Creator', 'start_date': '2024-03-17', 'active': False}, {'plan': 'Pro', 'start_date': '2024-04-02', 'active': True}]"
1b1bc004-9823-49fc-a361-dc0d97cf4764,Susan Wilkins,thomasramos@thomas-johnson.com,"{'age': 39, 'gender': 'female', 'address': {'street': '08312 Diane Parks', 'city': 'South Laurabury', 'zipcode': '59074'}}","[{'plan': 'Creator', 'start_date': '2023-06-05', 'active': True}]"
